GEOID,GEOID10,NAME,18TOT,18TOTme,18BLACK,18Bme,2018_PB,17TOT,17TOTme,17BLACK,17Bme,2017_PB,16TOT,16TOTme,16BLACK,16Bme,2016_PB,15TOT,15TOTme,15BLACK,15Bme,2015_PB,14TOT,14TOTme,14BLACK,14Bme,2014_PB,13TOT,13TOTme,13BLACK,13Bme,2013_PB
1500000US210670032012,210670032012,"Block Group 2, Census Tract 32.01, Fayette County, Kentucky",714,160,131,81,18.35,1613,423,11,18,0.68,1473,387,16,18,1.09,1225,309,14,20,1.14,1291,282,55,37,4.26,3092,381,59,61,1.91
1500000US210670032021,210670032021,"Block Group 1, Census Tract 32.02, Fayette County, Kentucky",1466,331,79,119,5.39,767,194,18,29,2.35,746,192,0,11,0,886,252,93,103,10.5,790,258,85,97,10.76,1197,198,392,136,32.75
1500000US210670032023,210670032023,"Block Group 3, Census Tract 32.02, Fayette County, Kentucky",1058,352,463,291,43.76,1453,369,45,47,3.10,1512,374,27,41,1.79,1536,383,26,39,1.69,1354,341,0,11,0,1490,241,124,81,8.32
1500000US210670032024,210670032024,"Block Group 4, Census Tract 32.02, Fayette County, Kentucky",1871,441,305,175,16.30,329,135,0,11,0.00,476,199,0,11,0,497,182,0,11,0,495,182,0,11,0,632,198,94,74,14.87
1500000US210670034023,210670034023,"Block Group 3, Census Tract 34.02, Fayette County, Kentucky",1273,490,630,407,49.49,632,383,199,213,31.49,626,331,185,195,29.55,644,328,112,161,17.39,629,282,113,160,17.97,1127,209,299,101,26.53
1500000US210670034062,210670034062,"Block Group 2, Census Tract 34.06, Fayette County, Kentucky",2158,414,239,147,11.08,840,174,7,11,0.83,927,183,29,34,3.13,919,171,27,33,2.94,1030,206,76,84,7.38,1163,403,666,326,57.27
1500000US210670034072,210670034072,"Block Group 2, Census Tract 34.07, Fayette County, Kentucky",1902,296,271,221,14.25,1585,255,159,105,10.03,1520,261,168,94,11.05,1651,248,183,132,11.08,1634,284,108,84,6.61,912,262,508,209,55.7
1500000US210670035012,210670035012,"Block Group 2, Census Tract 35.01, Fayette County, Kentucky",2051,313,219,140,10.68,1427,240,86,82,6.03,1285,217,48,43,3.74,1225,180,48,45,3.92,1105,161,49,43,4.43,841,196,27,21,3.21
1500000US210670035032,210670035032,"Block Group 2, Census Tract 35.03, Fayette County, Kentucky",659,182,44,59,6.68,2544,265,50,61,1.97,2265,270,57,73,2.52,2150,283,66,70,3.07,2100,278,65,66,3.1,577,182,107,71,18.54
1500000US210670035041,210670035041,"Block Group 1, Census Tract 35.04, Fayette County, Kentucky",1176,305,322,175,27.38,1240,212,0,11,0.00,1216,233,0,11,0,1251,207,0,11,0,1250,239,0,11,0,669,277,395,223,59.04
1500000US210670037011,210670037011,"Block Group 1, Census Tract 37.01, Fayette County, Kentucky",743,139,30,42,4.04,824,287,72,100,8.74,963,274,58,86,6.02,976,245,56,66,5.74,936,260,49,64,5.24,779,356,550,330,70.6
1500000US210670037012,210670037012,"Block Group 2, Census Tract 37.01, Fayette County, Kentucky",2050,222,700,147,34.15,1934,284,0,11,0.00,1662,270,0,11,0,1477,237,0,11,0,1496,200,0,11,0,629,179,515,171,81.88
1500000US210670037022,210670037022,"Block Group 2, Census Tract 37.02, Fayette County, Kentucky",2329,232,730,153,31.34,1578,318,52,59,3.30,1502,340,48,54,3.2,1577,449,14,21,0.89,1499,272,0,11,0,891,322,451,286,50.62
1500000US210670037031,210670037031,"Block Group 1, Census Tract 37.03, Fayette County, Kentucky",2969,541,443,213,14.92,865,249,59,78,6.82,789,206,65,88,8.24,815,199,59,62,7.24,899,160,100,67,11.12,707,172,192,144,27.16
1500000US210670037032,210670037032,"Block Group 2, Census Tract 37.03, Fayette County, Kentucky",1950,528,220,146,11.28,1297,289,0,11,0.00,1151,258,0,11,0,1322,422,50,108,3.78,1094,430,61,76,5.58,556,134,398,157,71.58
1500000US210670008011,210670008011,"Block Group 1, Census Tract 8.01, Fayette County, Kentucky",3014,487,316,110,10.48,1112,514,91,105,8.18,1037,534,0,11,0,788,228,0,11,0,830,302,0,11,0,519,140,33,48,6.36
1500000US210670023022,210670023022,"Block Group 2, Census Tract 23.02, Fayette County, Kentucky",1650,316,0,11,0.00,923,321,0,11,0.00,1116,478,0,11,0,1248,555,0,11,0,1081,487,1,3,0.09,917,160,41,68,4.47
1500000US210670029001,210670029001,"Block Group 1, Census Tract 29, Fayette County, Kentucky",685,124,3,7,0.44,1089,261,67,66,6.15,1060,253,67,77,6.32,1017,285,100,108,9.83,1037,267,58,72,5.59,1011,286,0,11,0
1500000US210670029002,210670029002,"Block Group 2, Census Tract 29, Fayette County, Kentucky",1889,251,0,11,0.00,1189,228,144,83,12.11,1460,282,191,112,13.08,1344,268,185,107,13.76,1353,242,135,95,9.98,925,233,10,16,1.08
1500000US210670034022,210670034022,"Block Group 2, Census Tract 34.02, Fayette County, Kentucky",1215,346,254,241,20.91,1230,234,245,165,19.92,1265,246,334,92,26.4,1323,224,323,83,24.41,1443,225,489,142,33.89,1461,312,2,3,0.14
1500000US210670034043,210670034043,"Block Group 3, Census Tract 34.04, Fayette County, Kentucky",718,311,265,136,36.91,1092,262,690,205,63.19,943,232,552,187,58.54,1312,207,814,128,62.04,1375,220,907,192,65.96,1590,303,39,62,2.45
1500000US210670034041,210670034041,"Block Group 1, Census Tract 34.04, Fayette County, Kentucky",2053,442,908,515,44.23,1428,252,398,169,27.87,1413,214,233,95,16.49,1023,154,233,109,22.78,984,161,127,85,12.91,1173,247,0,11,0
1500000US210670005002,210670005002,"Block Group 2, Census Tract 5, Fayette County, Kentucky",1018,242,0,11,0.00,1231,196,143,81,11.62,1187,178,172,95,14.49,1263,207,141,84,11.16,1304,216,62,52,4.75,1479,385,66,67,4.46
1500000US210670005004,210670005004,"Block Group 4, Census Tract 5, Fayette County, Kentucky",915,155,31,28,3.39,646,174,46,38,7.12,616,170,40,41,6.49,463,100,73,61,15.77,479,126,70,64,14.61,951,218,40,47,4.21
1500000US210670004002,210670004002,"Block Group 2, Census Tract 4, Fayette County, Kentucky",1211,167,835,166,68.95,1647,390,85,135,5.16,1763,375,89,140,5.05,1988,392,239,275,12.02,1921,521,366,340,19.05,4098,546,329,86,8.03
1500000US210670040011,210670040011,"Block Group 1, Census Tract 40.01, Fayette County, Kentucky",2852,477,669,360,23.46,1237,450,529,318,42.76,1203,417,506,244,42.06,1435,530,583,323,40.63,1303,563,486,261,37.3,3312,488,407,228,12.29
1500000US210670015002,210670015002,"Block Group 2, Census Tract 15, Fayette County, Kentucky",1077,167,215,83,19.96,844,274,281,145,33.29,945,259,229,146,24.23,878,340,98,93,11.16,1032,292,60,73,5.81,968,216,95,57,9.81
1500000US210670015001,210670015001,"Block Group 1, Census Tract 15, Fayette County, Kentucky",778,185,91,50,11.70,1797,416,229,152,12.74,1448,323,235,162,16.23,1662,377,404,172,24.31,1828,336,350,152,19.15,1046,286,262,206,25.05
1500000US210670038023,210670038023,"Block Group 3, Census Tract 38.02, Fayette County, Kentucky",807,187,51,39,6.32,1904,260,746,233,39.18,1992,256,826,222,41.47,1392,236,599,159,43.03,1531,231,551,156,35.99,2646,513,219,111,8.28
