GEOID,NAME,GEOID10,18TOT,18TOTme,18BLACK,18Bme,2018,17TOT,17TOTme,17BLACK,17Bme,2017,16TOT,16TOTme,16BLACK,16Bme,2016,15TOT,15TOTme,15BLACK,15Bme,2015,14TOT,14TOTme,14BLACK,14Bme,2014,13TOT,13TOTme,13BLACK,13Bme,2013
1500000US210670038033,"Block Group 3, Census Tract 38.03, Fayette County, Kentucky",210670038033,334,107,334,107,100,1971,290,1011,179,51.29,1484,251,696,136,46.9,1294,280,543,158,41.96,731,202,282,113,38.58,399,217,280,139,70.18
1500000US210670038043,"Block Group 3, Census Tract 38.04, Fayette County, Kentucky",210670038043,1899,384,353,169,18.59,1325,325,947,256,71.47,1130,230,655,160,57.96,922,205,683,189,74.08,1400,342,586,210,41.86,1114,265,1018,253,91.38
1500000US210670039082,"Block Group 2, Census Tract 39.08, Fayette County, Kentucky",210670039082,2931,334,2306,308,78.68,1490,200,1266,168,84.97,1415,197,1135,160,80.21,1546,227,1220,205,78.91,745,177,502,159,67.38,1475,291,1336,269,90.58
1500000US210670039092,"Block Group 2, Census Tract 39.09, Fayette County, Kentucky",210670039092,775,201,418,164,53.94,847,251,181,96,21.37,708,205,189,104,26.69,661,224,254,111,38.43,1455,206,1021,214,70.17,1031,169,953,171,92.43
1500000US210670039112,"Block Group 2, Census Tract 39.11, Fayette County, Kentucky",210670039112,1448,187,1279,178,88.33,2696,398,1542,380,57.2,2824,464,1652,362,58.5,2674,411,1625,365,60.77,2371,449,1353,304,57.06,2056,261,2001,253,97.32
1500000US210670039122,"Block Group 2, Census Tract 39.12, Fayette County, Kentucky",210670039122,2057,294,1929,294,93.78,1822,322,1696,324,93.08,1679,343,1546,326,92.08,1787,256,1689,244,94.52,1771,254,1662,243,93.85,1372,298,1240,299,90.38
1500000US210670039133,"Block Group 3, Census Tract 39.13, Fayette County, Kentucky",210670039133,4899,473,3960,440,80.83,1962,423,1706,403,86.95,1935,352,1722,360,88.99,1841,354,1645,342,89.35,1916,427,1746,419,91.13,1136,267,1035,223,91.11
1500000US210670024004,"Block Group 4, Census Tract 24, Fayette County, Kentucky",210670024004,815,138,769,141,94.36,648,160,587,148,90.59,552,180,505,171,91.49,612,236,598,233,97.71,514,204,492,197,95.72,1367,188,1347,182,98.54
1500000US210670036001,"Block Group 1, Census Tract 36, Fayette County, Kentucky",210670036001,1066,170,986,165,92.5,4715,486,3920,457,83.14,4407,394,3545,373,80.44,3838,450,2930,417,76.34,3463,484,2487,437,71.82,1457,274,1404,264,96.36
1500000US210670024002,"Block Group 2, Census Tract 24, Fayette County, Kentucky",210670024002,674,206,651,206,96.59,832,154,307,100,36.9,844,187,399,138,47.27,850,216,411,143,48.35,736,210,372,175,50.54,1075,197,971,208,90.33
1500000US210670025002,"Block Group 2, Census Tract 25, Fayette County, Kentucky",210670025002,667,167,661,168,99.1,1375,234,1005,194,73.09,1211,214,951,151,78.53,1190,228,881,190,74.03,1159,121,881,152,76.01,1255,431,1126,433,89.72
1500000US210670034051,"Block Group 1, Census Tract 34.05, Fayette County, Kentucky",210670034051,2372,486,1798,417,75.8,1709,245,1334,211,78.06,1519,185,1305,212,85.91,1421,273,1133,262,79.73,1526,227,1103,226,72.28,749,233,716,238,95.59
1500000US210670031021,"Block Group 1, Census Tract 31.02, Fayette County, Kentucky",210670031021,1198,266,482,178,40.23,1662,296,1404,283,84.48,1828,298,1678,314,91.79,1862,335,1704,350,91.51,1587,306,1434,313,90.36,900,393,888,395,98.67
1500000US210670009002,"Block Group 2, Census Tract 9, Fayette County, Kentucky",210670009002,3291,554,2555,517,77.64,12,16,12,16,100,11,15,11,15,100,10,14,10,14,100,10,14,10,14,100,1003,231,812,227,80.96
1500000US210670013002,"Block Group 2, Census Tract 13, Fayette County, Kentucky",210670013002,616,211,452,177,73.38,509,69,475,68,93.32,506,87,482,87,95.26,588,174,577,174,98.13,577,181,570,180,98.79,1506,287,1195,263,79.35
1500000US210670002001,"Block Group 1, Census Tract 2, Fayette County, Kentucky",210670002001,823,270,377,197,45.81,1138,171,681,130,59.84,1098,150,652,112,59.38,1070,154,691,131,64.58,1051,139,725,156,68.98,1406,241,931,198,66.22
1500000US210670034071,"Block Group 1, Census Tract 34.07, Fayette County, Kentucky",210670034071,1926,312,1132,212,58.77,49,21,49,21,100,37,19,37,19,100,28,19,28,19,100,26,18,26,18,100,1296,253,281,153,21.68
1500000US210670008022,"Block Group 2, Census Tract 8.02, Fayette County, Kentucky",210670008022,832,110,634,117,76.2,0,11,0,11,0,0,11,0,11,0,0,11,0,11,0,0,11,0,11,0,987,130,883,123,89.46
1500000US210670016001,"Block Group 1, Census Tract 16, Fayette County, Kentucky",210670016001,1193,252,915,195,76.7,767,172,722,169,94.13,685,176,641,165,93.58,911,247,802,223,88.04,988,302,752,261,76.11,1229,247,1125,259,91.54
1500000US210670025003,"Block Group 3, Census Tract 25, Fayette County, Kentucky",210670025003,1804,426,1725,427,95.62,2303,315,2045,344,88.8,2046,223,1786,248,87.29,1880,265,1621,264,86.22,1725,337,1420,307,82.32,448,158,384,158,85.71
1500000US210670032011,"Block Group 1, Census Tract 32.01, Fayette County, Kentucky",210670032011,963,162,695,169,72.17,2789,591,1931,459,69.24,2404,512,1688,364,70.22,2191,477,1576,383,71.93,1819,376,1468,330,80.7,2074,560,1819,511,87.7
1500000US210670032022,"Block Group 2, Census Tract 32.02, Fayette County, Kentucky",210670032022,1291,491,587,303,45.47,1057,263,950,250,89.88,1123,244,990,225,88.16,1188,251,1070,241,90.07,1315,308,1177,316,89.51,952,523,742,582,77.94
1500000US210670033002,"Block Group 2, Census Tract 33, Fayette County, Kentucky",210670033002,923,211,715,212,77.46,2121,527,1374,386,64.78,2318,459,1495,408,64.5,2056,444,1310,413,63.72,2577,426,1578,460,61.23,1172,325,1004,270,85.67
1500000US210670034063,"Block Group 3, Census Tract 34.06, Fayette County, Kentucky",210670034063,2443,458,2079,415,85.1,1428,368,1239,375,86.76,1307,373,1085,380,83.01,1645,353,1382,349,84.01,1898,374,1632,355,85.99,1618,292,1361,300,84.12
1500000US210670035031,"Block Group 1, Census Tract 35.03, Fayette County, Kentucky",210670035031,1765,240,1348,244,76.37,1710,373,1256,241,73.45,1920,409,1417,283,73.8,1600,316,1284,280,80.25,1424,266,1155,244,81.11,1424,300,919,210,64.54
1500000US210670035042,"Block Group 2, Census Tract 35.04, Fayette County, Kentucky",210670035042,2459,458,1433,279,58.28,2171,366,2050,339,94.43,1974,403,1913,409,96.91,1996,285,1836,280,91.98,1753,259,1581,263,90.19,1258,361,1075,312,85.45
1500000US210670037021,"Block Group 1, Census Tract 37.02, Fayette County, Kentucky",210670037021,1848,349,1464,286,79.22,1787,103,1731,90,96.87,1755,91,1722,93,98.12,1764,108,1727,108,97.9,1788,116,1707,133,95.47,1788,450,1203,260,67.28
