GEOID10,NAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
470370151001,151.1,5.08,3.77,1.24,1.23,2.44,3.62,0,3.55,1.17,1.16,3.34,5.34,3.08,0,0,3.67
470370151002,151.2,1.82,0,1.82,6.36,4.55,0,4.55,6.36,5.45,1.82,1.76,2.55,0.82,0,1.55,2.26
470370151003,151.3,5.64,5.61,5.57,4.42,4.4,10.92,4.34,8.62,8.57,4.26,5.08,9.74,4.67,3.59,3.46,2.5
470370151004,151.4,4.23,7.14,3.51,7.77,4.53,5.58,3.57,7.84,3.73,3.41,1.01,2.2,2.6,2.52,0.67,1.51
470370152001,152.1,1.22,2.41,4.17,6.49,2.92,2.88,2.28,3.95,2.79,2.21,1.07,1.04,2.53,2.45,3.34,0.93
470370152002,152.2,0,4.18,4.13,7.13,3.02,4.96,1.96,3.87,1.91,1.89,0.9,4.31,1.65,0.79,1.53,0
470370153001,153.1,0,0,2.69,0,0,2.6,0,5.1,2.53,5,2.36,2.24,2.13,0,1.94,0
470370153002,153.2,0,3.19,3.83,1.74,0.8,5.88,2.05,3.82,3.58,2.25,0.54,2.07,0.5,0.96,0.46,0.44
470370153003,153.3,2.99,3.03,3.06,5.41,4.69,3.16,3.99,2.42,3.27,1.65,3.96,3.04,5.11,2.81,1.35,2.61
470370153004,153.4,1.44,2.85,4.23,4.2,6.94,12.39,5.46,4.06,6.72,0,2.55,9.76,7.02,5.62,1.08,3.13
470370157001,157.1,5.26,3.26,4.53,6.42,3.18,6.95,2.51,4.98,4.33,3.07,3.01,7.09,5.8,4.55,1.12,2.75
470370159001,159.1,2.55,3.61,1.8,2.09,2.63,2.96,2.29,1.84,2.18,1.69,1.99,2.74,3.06,3.09,2.68,6.33
470370159002,159.2,3.93,2.77,2.19,3.79,3.74,4.23,2.61,4.65,3.06,3.54,2.93,4.74,5.52,4.02,2.6,6.33
470370160001,160.1,11.61,10.24,7.18,8.99,13.95,11.47,6.04,11.62,11.89,12.55,11.33,9.86,9.51,6.89,8.56,4.91
470370161001,161.1,6.06,2.16,5.31,4.69,2.05,2.01,2.96,1.46,4.3,1.88,2.25,4.31,2.07,2.79,1.15,1.11
470370161002,161.2,9.28,6.81,9.29,5.81,8.17,11.21,5.05,6.2,4.28,5.39,1.94,4.1,3.82,5.21,3.76,5.36
470370162001,162.1,1.97,3.99,0.81,5.33,5.82,7.59,5.13,6.07,4.84,3.57,6.64,3.95,3.91,0.86,2.14,2.54
470370162002,162.2,15.12,8.34,12.16,15.71,21.74,13.02,12.58,12.17,15.63,23.54,15.18,32.25,16.82,11.96,15.09,17.49
470370162003,162.3,9.9,2.66,0.63,3.55,2.81,2.14,0.51,2.43,2.33,1.34,3.42,1.64,0,0.76,0.36,0.35
470370162004,162.4,4.11,1.4,4.98,3.27,6.67,4.91,1.54,2.76,6.04,3.7,8.91,3.19,3.93,2.71,3.05,4.14
470370163001,163.1,6.32,3.95,5.56,6.01,3.76,1.59,2.08,4.62,3.54,1.49,2.36,2.69,0.85,0,0.78,0
470370163002,163.2,7.22,6.76,9.25,9.62,11.64,11.58,15.22,11.46,16.28,6.88,8.03,16.31,13.41,10.17,12.02,12.69
470370163003,163.3,4.23,2.67,2.7,2.73,8.84,3.91,1.69,4,1.73,2.92,1.68,4.31,2.59,6.99,2.89,1.4
470370164001,164.1,1.03,0.69,2.43,0.7,0,1.07,0,0.36,0.73,0.37,0.35,0,0.67,0.65,0,0
470370164002,164.2,0.48,0.82,0,0.67,0.17,0.69,0.7,0.53,0.36,0.91,0.72,0.54,0.35,0,0.35,0.52
